Segment,Bill outside,Bill contract 1,Bill contract 2,Chosen alternative,Deterministic revenue contribution
1,1214.9225999999999,1114.64172495,1122.59530737,Contract 1 (Flat),111.46417249500001
2,1930.1284,1788.78655215,1764.58531215,Contract 2 (ToU),176.458531215
3,985.9079000000002,927.4118197500002,886.9679023200001,Contract 2 (ToU),88.69679023200001
4,2871.9451,2632.2198610500004,2656.49807214,Contract 1 (Flat),263.22198610500004
5,754.8305,706.9919454000001,682.28429943,Contract 2 (ToU),68.22842994300001
6,1535.7924,1425.5742501000002,1401.71248854,Contract 2 (ToU),140.17124885400003
7,1238.7944,1181.1847671,1097.7973085400001,Contract 2 (ToU),109.77973085400002
8,1360.7828000000002,1255.6499962500002,1249.82697009,Contract 2 (ToU),124.982697009
9,714.9625,661.3727971500001,654.93637338,Contract 2 (ToU),65.493637338
10,1924.0722999999998,1763.50212675,1779.6960770399999,Contract 1 (Flat),176.350212675
