Segment,Weight,Most likely choice,Max probability,Entropy
1,0.125,Contract 1,0.5167107462009009,0.8709088325505755
2,0.057,Contract 2,0.5849248746966018,0.7521758045356003
3,0.068,Contract 2,0.6205141523006148,0.8597752971467378
4,0.044,Contract 1,0.6357953356058892,0.6755257384520426
5,0.161,Contract 2,0.5360269635940629,0.9545075582446054
6,0.116,Contract 2,0.5769793274665296,0.8004530319372181
7,0.045,Contract 2,0.7859495042337244,0.6287894107767048
8,0.171,Contract 2,0.49100274977668873,0.8485367498613556
9,0.112,Contract 2,0.4566448967738589,0.9863218983546098
10,0.101,Contract 1,0.5828799090940467,0.7531108131578899
